=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.02.25 23:41:30 =~=~=~=~=~=~=~=~=~=~=~=
00,1.00
-126.00,22.00,1.00
-128.00,23.00,2.00
-127.00,22.00,1.00
-127.00,21.00,2.00
-126.00,22.00,2.00
-127.00,22.00,0.00
-127.00,21.00,0.00
-127.00,21.00,1.00
-127.00,22.00,1.00
-127.00,23.00,1.00
-127.00,22.00,3.00
-128.00,22.00,0.00
-127.00,22.00,1.00
-127.00,22.00,2.00
-126.00,21.00,2.00
-127.00,22.00,2.00
-127.00,21.00,1.00
-127.00,21.00,2.00
-127.00,20.00,1.00
-127.00,22.00,2.00
-127.00,22.00,1.00
-127.00,23.00,2.00
-127.00,22.00,2.00
-127.00,22.00,1.00
-127.00,23.00,2.00
-127.00,22.00,1.00
-127.00,21.00,2.00
-127.00,23.00,1.00
-126.00,22.00,2.00
-126.00,21.00,0.00
-126.00,22.00,0.00
-127.00,23.00,2.00
-128.00,21.00,2.00
-127.00,22.00,1.00
-126.00,21.00,0.00
-126.00,22.00,2.00
-126.00,22.00,1.00
-127.00,20.00,1.00
-127.00,22.00,1.00
-126.00,22.00,1.00
-126.00,23.00,1.00
-127.00,21.00,2.00
-127.00,22.00,1.00
-126.00,21.00,1.00
-126.00,22.00,1.00
-127.00,22.00,2.00
-126.00,21.00,2.00
-126.00,22.00,1.00
-127.00,22.00,1.00
-127.00,21.00,2.00
-127.00,22.00,1.00
-126.00,22.00,1.00
-126.00,22.00,2.00
-127.00,21.00,0.00
-127.00,20.00,1.00
-127.00,22.00,1.00
-125.00,22.00,1.00
-127.00,22.00,1.00
-127.00,23.00,1.00
-126.00,23.00,2.00
-127.00,23.00,1.00
-126.00,22.00,2.00
-127.00,21.00,1.00
-126.00,21.00,1.00
-127.00,22.00,2.00
-127.00,23.00,2.00
-128.00,22.00,1.00
-127.00,22.00,2.00
-127.00,22.00,1.00
-127.00,22.00,1.00
-126.00,22.00,1.00
-128.00,22.00,2.00
-126.00,23.00,1.00
-127.00,21.00,2.00
-127.00,22.00,1.00
-126.00,22.00,2.00
-128.00,22.00,1.00
-128.00,22.00,1.00
-128.00,22.00,1.00
-128.00,23.00,1.00
-127.00,21.00,0.00
-127.00,23.00,1.00
-128.00,22.00,1.00
-128.00,22.00,1.00
-127.00,23.00,1.00
-127.00,21.00,1.00
-127.00,22.00,0.00
-125.00,21.00,2.00
-125.00,21.00,2.00
-127.00,22.00,2.00
-128.00,22.00,2.00
-128.00,22.00,2.00
-126.00,23.00,2.00
-125.00,20.00,2.00
-127.00,13.00,1.00
-144.00,-10.00,53.00
-157.00,-25.00,81.00
-166.00,-17.00,58.00
-134.00,3.00,23.00
-138.00,-3.00,34.00
-152.00,-4.00,35.00
-136.00,8.00,12.00
-126.00,23.00,3.00
-120.00,34.00,-1.00
-122.00,30.00,-8.00
-124.00,22.00,-1.00
-135.00,1.00,7.00
-128.00,17.00,12.00
-134.00,10.00,18.00
-133.00,12.00,12.00
-139.00,2.00,25.00
-141.00,0.00,28.00
-141.00,-2.00,20.00
-128.00,18.00,4.00
-118.00,36.00,-8.00
-123.00,24.00,-1.00
-113.00,40.00,-1.00
-107.00,36.00,-24.00
-47.00,50.00,-52.00
-100.00,52.00,-54.00
-180.00,67.00,-38.00
-107.00,62.00,-52.00
-108.00,52.00,-36.00
-116.00,37.00,-32.00
-122.00,30.00,-8.00
-123.00,25.00,-1.00
-124.00,26.00,-6.00
-123.00,30.00,-11.00
-124.00,28.00,-9.00
-125.00,24.00,-2.00
-126.00,23.00,-1.00
-124.00,26.00,-6.00
